tweet,channel,apple,tesla,google,meta,input_ids,attention_mask,sentiment
"Ice Caps Are Melting Faster, Nikola-Tesla Rivalry Heats Up And Making Green Hydrogen  https://t.co/p9VHlBJO7S  https://t.co/PvFPliDjxA",forbes,0,1,0,0,"[    0 38136 26056  3945  4448  2577 42548     6 26607    12 39971   248
 43823    91  2923  3105   178 11102  1628 24893 26759  1437  1205   640
    90     4   876    73   642   466   846   725   462   387 39131   406
   104  1437  1205   640    90     4   876    73   510   705   597 16213
   118   495   267  1178   250     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"Instagram, the latest social giant to embrace digital collectibles, announced a way to showcase NFTs last week, even though NFT sales are way down from their peak.  Here's what artists have to say about the release and its timing, from @_pheebini:   https://t.co/ankPERmXc3",forbes,0,0,0,0,"[    0 23754 17654     6     5   665   592  3065     7  7962  1778  5555
 13352     6   585    10   169     7  8283   234 11615    29    94   186
     6   190   600   234 11615   647    32   169   159    31    49  4996
     4  1437  1398    18    99  3528    33     7   224    59     5   800
     8    63  5801     6    31   787  1215 42464  3209  2531    35  1437
  1437  1205   640    90     4   876    73  3153 21260   119  1000   438
   246     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"Once, Twice, Three Times A Ransomware Victim: Triple-Hacked In Just 2 Weeks  https://t.co/dG0bm8Zh0Z  https://t.co/7SoUOZga1f",forbes,0,0,0,0,"[    0 11475     6 34192     6  2873  1513    83   248 32387 10680 34349
    35  8424    12   725 10074    96  1801   132 25812  1437  1205   640
    90     4   876    73   417   534   288 43531   398  1301   298   288
  1301  1437  1205   640    90     4   876    73   406  2847   791   673
  1301  2538   134   506     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
AI Ethics Flummoxed By Those Salting AI Ethicists That “Instigate” Ethical AI Practices  https://t.co/YAYSJZm0B9  https://t.co/k513UCVzo6,forbes,0,0,0,0,"[    0 15238 20138  4150 16598  4325   196   870  2246  2575  2577  4687
 24293   636  1952   280    44    48 23754 24343    17    46 24293  3569
  4687 33682  1437  1205   640    90     4   876    73   975  2547   104
   863  1301   119   288   387   466  1437  1205   640    90     4   876
    73   330 39337 12945   846  6527   401     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0
Apple AirPods Pro 2: Insider Says Crucial Design Upgrade Could Be Weeks Away  https://t.co/jrKzUjKGSp  https://t.co/bI4SrZ70IX,forbes,1,0,0,0,"[    0 20770  1754   510 20529  1698   132    35  9203 15674 13876 15585
  7438 41846  9918  1456 25812 19685  1437  1205   640    90     4   876
    73   267   338   530   329   791   267   530   534 12582  1437  1205
   640    90     4   876    73   428   100   306   104   338  1301  3083
  9482     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
These Boffins Hid 256-Bit Encryption Key In Ink Molecules Of Handwritten Letter  https://t.co/cCVFlh8Ozl  https://t.co/nmA9BNOG4b,forbes,0,0,0,0,"[    0  4528   163  1529  1344   289   808 22078    12 36918 14813 43781
  4300    96 28643 35226 46285  1525  7406 23460 17103  1437  1205   640
    90     4   876    73   438 35433 16197   298   398   673 30094  1437
  1205   640    90     4   876    73 28235   250   466 15048 10207   306
   428     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
Cisco Hacked: Ransomware Gang Claims It Has 2.8GB Of Data  https://t.co/6ueXpqJwJ9  https://t.co/MW6OdIAZXC,forbes,0,0,0,0,"[    0   347 15069   289 10074    35   248 32387 10680 13474 28128    85
  6233   132     4   398  4377  1525  5423  1437  1205   640    90     4
   876    73   401  1780  1000   642  1343   863   605   863   466  1437
  1205   640    90     4   876    73 19454   401   673   417  2889 46096
   347     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"Android Circuit: Pixel 7 Ultra Mystery, Galaxy Z Fold 4 And Z Flip 4 Launched, Oppo And OnePlus German Sales Stopped  https://t.co/hwOReYiKaz  https://t.co/ORbCDQ9Hwu",forbes,0,0,0,0,"[    0 42375  7813    35 11699   262 16643 34039     6  5325   525 41303
   204   178   525 14782   204 21208  3804     6 11053   139   178 13988
  1859  4706 23888  5686  1437  1205   640    90     4   876    73 30826
  3411   242   975   118   530  1222  1437  1205   640    90     4   876
    73  3411   428 11579  1864   466   725 13104     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"Apple Loop: Sneaky iPhone 14 Decision, Latest Mac Mini Delay, Google’s iMessage Fight With Apple  https://t.co/d16AbjA3dP  https://t.co/GyYC6fbMGP",forbes,1,0,1,0,"[    0 20770 23005    35 23037 18162  2733   501 30300     6  9385  1775
 14912 44137     6  1204    17    27    29   939 42394 14381   590  1257
  1437  1205   640    90     4   876    73   417  1549 13112   267   250
   246   417   510  1437  1205   640    90     4   876    73 41532 37074
   401 36028   448 12694     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0
An Interview With Retrospec’s CEO Ely Khakshouri About His Electric Journey  https://t.co/NddOCSsidI  https://t.co/L7kOAzbyoz,forbes,0,0,0,0,"[    0  4688 21902   590 38684 38928    17    27    29  1324 21294  2218
   677  1193 22805  1936   832  7219 23635  1437  1205   640    90     4
   876    73   487 16134  4571   104 24301   100  1437  1205   640    90
     4   876    73   574   406   330 16024   329  1409  3979     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]",1
"SpaceX has added more global investors to its funding mix, which now totals $2 billion for this year alone.  The $250 million extension to SpaceX’s last funding was led by a firm from South Korea.  Scoop from @DurotMatthew and @alexrkonrad:   https://t.co/67F50JwvMh",forbes,0,0,0,0,"[    0 27404  1000    34   355    55   720   867     7    63  1435  3344
     6    61   122 17582    68   176   325    13    42    76  1937     4
  1437    20    68  5714   153  5064     7 14973    17    27    29    94
  1435    21   669    30    10   933    31   391  1101     4  1437 30735
  1517    31   787   495  7367    90 33667     8   787  1627  1178   338
   330   261  7822    35  1437  1437  1205   640    90     4   876    73
  4111   597  1096   863   605   705   448   298     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]",1
Media Tech Platform Zette Raises $1.7M To Provide Access To Paywalled Articles  https://t.co/aJEU1NFXb8  https://t.co/4kSzIqm5Mx,forbes,0,0,0,0,"[    0 18801  4569 16237   525  3398  4833  5504    68   134     4   406
   448   598 36836  8076   598  6898   605  9315 15219  1437  1205   640
    90     4   876    73   102   863 14707   134   487 24119   428   398
  1437  1205   640    90     4   876    73   306   330   104   329   100
  1343   119   245   448  1178     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
Apple Watch Series 8: Apple May Have Just Revealed Its Brilliant Upgrade  https://t.co/xoVTUlagj7  https://t.co/1vMpL3UkFb,forbes,1,0,0,0,"[    0 20770  3075  3265   290    35  1257   392  6319  1801 23000  9389
  3139 39769 41846  1437  1205   640    90     4   876    73  1178   139
 35707   791 23546   267   406  1437  1205   640    90     4   876    73
   134   705 46279   574   246 40264   597   428     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]",2
This Affordable Docking Station From Baseus Is A Sensible Choice For Basic Use  https://t.co/5HVhAbPezC  https://t.co/ctTKm6yR4v,forbes,0,0,0,0,"[    0   713 11480   211 12088  5088  1740 11056   687  1534    83 12274
  4748 14431   286 17255  7627  1437  1205   640    90     4   876    73
   245   725   846   298 13112 23029   329   347  1437  1205   640    90
     4   876    73  3894   565   530   119   401   219   500   306   705
     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]",2
Apple Could Release iPhone 14 And iPhone 14 Pro Sooner Than Expected  https://t.co/zUslTICyn3  https://t.co/cNJHYPXwkW,forbes,1,0,0,0,"[    0 20770  9918 15781  2733   501   178  2733   501  1698   407  9604
 15446  3015 23088  1437  1205   640    90     4   876    73   329 16419
   462   565  2371  3892   246  1437  1205   640    90     4   876    73
   438 25471 32288   510  1000 40577   771     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]",1
Twitter Moves To Head Off Midterm Election Misinformation  https://t.co/lqgiq0u2UE  https://t.co/9h0yiH43mZ,forbes,0,0,0,0,"[    0 22838 39905   598  3928  4995  4079  1279  7713 12830 31480  1437
  1205   640    90     4   876    73   462  1343 15696  1343   288   257
   176  9162  1437  1205   640    90     4   876    73   466   298   288
 28831   725  3897   119  1301     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]",1
Cisco Hacked: Ransomware Gang Claims It Has 2.8GB Of Data  https://t.co/9W9rgCEwJh  https://t.co/hMqmhwj61c,forbes,0,0,0,0,"[    0   347 15069   289 10074    35   248 32387 10680 13474 28128    85
  6233   132     4   398  4377  1525  5423  1437  1205   640    90     4
   876    73   466   771   466 17865  8041   605   863   298  1437  1205
   640    90     4   876    73   298   448  1343   119 30826   267  5606
   438     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"South Korea’s Mirae Asset and Australia’s QIC were behind a $250 million cash injection into SpaceX, sources tell Forbes, maintaining SpaceX's recently-set valuation at $127 billion.   Scoop by @alexrkonrad and @DurotMatthew    https://t.co/IJxRulhaZr",forbes,0,0,0,0,"[    0 10050  1101    17    27    29  6512  4791  6571     8  1221    17
    27    29  1209  2371    58   639    10    68  5714   153  1055 12632
    88 14973     6  1715  1137 11519     6  6780 14973    18   682    12
  8738  7440    23    68 24174   325     4  1437  1437 30735  1517    30
   787  1627  1178   338   330   261  7822     8   787   495  7367    90
 33667  1437  1437  1437  1205   640    90     4   876    73 12761  1178
   500   922  1999  1301   338     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1]",1
5 Key Matchups To Watch For At The 2022 DCI World Championship Finals  https://t.co/TcsFSDZbXc  https://t.co/tigL73hGj7,forbes,0,0,0,0,"[    0   245  4300  9018  4489   598  3075   286   497    20  8157  5815
   100   623  3261 10673  1437  1205   640    90     4   876    73   565
 11365   597  6243  1301   428  1000   438  1437  1205   640    90     4
   876    73    90  1023   574  5352   298   534   267   406     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]",1
Fluance Reveals New Ai81 Powered Floorstanding Speakers For High-Performance Audio At Home  https://t.co/8AOGir9Obp  https://t.co/ps1RFkxq4d,forbes,0,0,0,0,"[    0   597  6487  2389 23000  1536   188 22695  6668 37910 21607  8190
  8330  6650   286   755    12 44002 20555   497  2193  1437  1205   640
    90     4   876    73   398   250 10207   853   466 24567   642  1437
  1205   640    90     4   876    73  3275   134 30455   330  1178  1343
   306   417     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"The Galaxy S22 Ultra Is Samsung’s Best Phone Ever, But It Won’t Talk About Its Greatest Feature  https://t.co/U2AUz52sZk  https://t.co/blhdWAgdSE",forbes,0,0,0,0,"[    0   133  5325   208  2036 16643  1534  3797    17    27    29  2700
 12091  7989     6   125    85 20311    17    27    90 10391  1936  3139
 25854 31967  1437  1205   640    90     4   876    73   791   176 22983
   329  4429    29  1301   330  1437  1205   640    90     4   876    73
  3662 35905   771 19897   417  3388     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",2
Stratum AI Revolutionizes Miners’ Deep Learning Of What’s Below Ground  https://t.co/QcUhNz1q5H  https://t.co/AIEvEE3Eql,forbes,0,0,0,0,"[    0  5320  6528   783  4687 13340  7396  3635   268    17    27  8248
 13807  1525   653    17    27    29  4421 13391  1437  1205   640    90
     4   876    73  1864   438 42903   487   329   134  1343   245   725
  1437  1205   640    90     4   876    73   250  7720   705  9993   246
   717 44306     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
Sony could be offering more money to developers to keep games off Game Pass than Microsoft is offering to put them on Game Pass.   Paul Tassi explains:   https://t.co/2kdfZiRTdj,forbes,0,0,0,0,"[    0 40183   115    28  1839    55   418     7  5485     7   489   426
   160  2436  7124    87  3709    16  1839     7   342   106    15  2436
  7124     4  1437  1437  1206   255 23838  4529    35  1437  1437  1205
   640    90     4   876    73   176   330 36807  1301   118 13963 26029
     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1]",1
5 Key Matchups To Watch For At The 2022 DCI World Championship Finals  https://t.co/TcsFSDZbXc  https://t.co/XZ0orcyqa3,forbes,0,0,0,0,"[    0   245  4300  9018  4489   598  3075   286   497    20  8157  5815
   100   623  3261 10673  1437  1205   640    90     4   876    73   565
 11365   597  6243  1301   428  1000   438  1437  1205   640    90     4
   876    73  1000  1301   288   368  4469 26250   246     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1]",1
"LinkedIn profiles indicate hundreds of ByteDance and TikTok employees used to work for Chinese state media publications, raising concerns that China could use TikTok’s broad cultural influence in the US for its own ends.  A @forbes investigation:   https://t.co/wy8j4AMzrF",forbes,0,0,0,0,"[    0 48005 11729  6364  2213     9 46594   495  2389     8 37177 41650
  1321   341     7   173    13  1111   194   433 16043     6  3282  1379
    14   436   115   304 37177 41650    17    27    29  4007  4106  2712
    11     5   382    13    63   308  3587     4  1437    83   787  1990
 16768   803    35  1437  1437  1205   640    90     4   876    73 13434
   398   267   306  2620   329   338   597     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"Google's clumsiness with search results has persisted throughout the years, with result pages stating plainly that certain presidents were in the KKK, or that women are evil, for example.  It's trying to fix that with AI, @richardjnieva reports:   https://t.co/GTXdhfLTaS",forbes,0,0,1,0,"[    0 20441    18  3741  8014  6601    19  1707   775    34 28786  1328
     5   107     6    19   898  6052  9052 32907    14  1402  9751    58
    11     5 34829     6    50    14   390    32  9247     6    13  1246
     4  1437    85    18   667     7  4190    14    19  4687     6   787
  5691  1120   267  7468  3952   690    35  1437  1437  1205   640    90
     4   876    73 18266  1000 16593   506 30395   102   104     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0
Stratum AI Revolutionizes Miners’ Deep Learning Of What’s Below Ground  https://t.co/QcUhNz1XVf  https://t.co/6CC366yIwO,forbes,0,0,0,0,"[    0  5320  6528   783  4687 13340  7396  3635   268    17    27  8248
 13807  1525   653    17    27    29  4421 13391  1437  1205   640    90
     4   876    73  1864   438 42903   487   329   134  1000   846   506
  1437  1205   640    90     4   876    73   401  3376 34357   219   100
   605   673     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
Fluance Reveals New Ai81 Powered Floorstanding Speakers For High-Performance Audio At Home  https://t.co/8AOGiqSL9p  https://t.co/LViu9yxZWq,forbes,0,0,0,0,"[    0   597  6487  2389 23000  1536   188 22695  6668 37910 21607  8190
  8330  6650   286   755    12 44002 20555   497  2193  1437  1205   640
    90     4   876    73   398   250 10207 19582 11160   466   642  1437
  1205   640    90     4   876    73 19996  9060   466 37119  1301   771
  1343     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
Cisco Hacked: Ransomware Gang Claims It Has 2.8GB Of Data  https://t.co/pdSvEiyqmG  https://t.co/iT3lVOrptO,forbes,0,0,0,0,"[    0   347 15069   289 10074    35   248 32387 10680 13474 28128    85
  6233   132     4   398  4377  1525  5423  1437  1205   640    90     4
   876    73 10398   104   705   717  4911  1343   119   534  1437  1205
   640    90     4   876    73   118   565   246   462   846 11094  3320
   673     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",0
Why Are Gen Z Creatives In Love With The Prequel Photo Filtering App?  https://t.co/V6rp8c4tzq  https://t.co/RjLIP4FBsE,forbes,0,0,0,0,"[    0  7608  3945  4380   525 27962  3699    96  3437   590    20  5048
 17418  1333 13663 14322  3166   116  1437  1205   640    90     4   876
    73   846   401   338   642   398   438   306 12527  1343  1437  1205
   640    90     4   876    73   500   267   574  3808   306 22687    29
   717     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]",2
